Classification,Year,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Partner Code,Partner,Commodity Code,Commodity,Trade Value (US$),Flag
H5,2017,1,Import,842,USA,156,China,55,Man-made staple fibres,467406279,4
H5,2017,2,Export,842,USA,156,China,55,Man-made staple fibres,173606441,4
H5,2017,3,Re-Export,842,USA,156,China,55,Man-made staple fibres,1440480,0
H5,2017,1,Import,842,USA,156,China,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",654537653,4
H5,2017,2,Export,842,USA,156,China,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",185722622,4
H5,2017,3,Re-Export,842,USA,156,China,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",12261240,0
H5,2017,1,Import,842,USA,156,China,57,Carpets and other textile floor coverings,647464905,4
H5,2017,2,Export,842,USA,156,China,57,Carpets and other textile floor coverings,18905672,4
H5,2017,3,Re-Export,842,USA,156,China,57,Carpets and other textile floor coverings,256840,0
H5,2017,1,Import,842,USA,156,China,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",310725701,4
H5,2017,2,Export,842,USA,156,China,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",12355180,4
H5,2017,3,Re-Export,842,USA,156,China,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",972040,0
H5,2017,1,Import,842,USA,156,China,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",556723750,4
H5,2017,2,Export,842,USA,156,China,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",112920118,4
H5,2017,3,Re-Export,842,USA,156,China,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",5995994,0
H5,2017,1,Import,842,USA,156,China,60,Fabrics; knitted or crocheted,470910545,4
H5,2017,2,Export,842,USA,156,China,60,Fabrics; knitted or crocheted,13859867,4
H5,2017,3,Re-Export,842,USA,156,China,60,Fabrics; knitted or crocheted,352245,0
H5,2017,1,Import,842,USA,156,China,61,Apparel and clothing accessories; knitted or crocheted,14889974580,4
H5,2017,2,Export,842,USA,156,China,61,Apparel and clothing accessories; knitted or crocheted,41069619,4
H5,2017,3,Re-Export,842,USA,156,China,61,Apparel and clothing accessories; knitted or crocheted,18353997,0
H5,2017,1,Import,842,USA,156,China,62,Apparel and clothing accessories; not knitted or crocheted,13514606679,4
H5,2017,2,Export,842,USA,156,China,62,Apparel and clothing accessories; not knitted or crocheted,45125109,4
H5,2017,3,Re-Export,842,USA,156,China,62,Apparel and clothing accessories; not knitted or crocheted,27620954,0
H5,2017,1,Import,842,USA,156,China,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",8428552425,4
H5,2017,2,Export,842,USA,156,China,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",18921188,4
H5,2017,3,Re-Export,842,USA,156,China,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",4636239,0
H5,2017,1,Import,842,USA,156,China,64,Footwear; gaiters and the like; parts of such articles,14839501265,4
H5,2017,2,Export,842,USA,156,China,64,Footwear; gaiters and the like; parts of such articles,108769823,4
H5,2017,3,Re-Export,842,USA,156,China,64,Footwear; gaiters and the like; parts of such articles,6731169,0
H5,2017,1,Import,842,USA,156,China,65,Headgear and parts thereof,1603877221,4
H5,2017,2,Export,842,USA,156,China,65,Headgear and parts thereof,5117241,4
H5,2017,3,Re-Export,842,USA,156,China,65,Headgear and parts thereof,781229,0
